"Year","Budget","ARRA.Inc","Request","Trump","cpi","cpi.lag","cpi.mult","adj_factor","Budget.InfAdj","ARRA.Inc.InfAdj","Request.InfAdj","Trump.InfAdj"
1994,10.956,NA,NA,NA,148.225,NA,NA,0.617580364090134,17.7402013358071,NA,NA,NA
1995,11.3,NA,NA,NA,152.383333333333,148.225,1.02805419688537,0.634906085216854,17.7979078530023,NA,NA,NA
1996,11.928,NA,NA,NA,156.858333333333,152.383333333333,1.02936672864486,0.653551199936391,18.2510566902194,NA,NA,NA
1997,12.741,NA,NA,NA,160.525,156.858333333333,1.02337565744037,0.668828388905844,19.0497296636038,NA,NA,NA
1998,13.675,NA,NA,NA,163.008333333333,160.525,1.01547007215906,0.679175212344246,20.134715978222,NA,NA,NA
1999,15.629,NA,NA,NA,166.583333333333,163.008333333333,1.02193139410051,0.694070471589463,22.5178863526763,NA,NA,NA
2000,17.841,NA,NA,NA,172.191666666667,166.583333333333,1.03366683341671,0.717437626535922,24.8676670139864,NA,NA,NA
2001,20.459,NA,NA,NA,177.041666666667,172.191666666667,1.02816628756715,0.737645181036425,27.7355570482466,NA,NA,NA
2002,23.321,NA,NA,NA,179.866666666667,177.041666666667,1.0159566956931,0.749415560719708,31.1189161559489,NA,NA,NA
2003,27.167,NA,NA,NA,184,179.866666666667,1.0229799851742,0.766637119194364,35.4365831236413,NA,NA,NA
2004,28.037,NA,NA,NA,188.908333333333,184,1.02667572463768,0.787087719883018,35.6211884542768,NA,NA,NA
2005,28.594,NA,NA,NA,195.266666666667,188.908333333333,1.03365829988089,0.813579754391411,35.1459089851485,NA,NA,NA
2006,28.56,NA,NA,NA,201.558333333333,195.266666666667,1.03222089450324,0.839794021827631,34.0083392566255,NA,NA,NA
2007,29.179,NA,NA,NA,207.344166666667,201.558333333333,1.02870550295613,0.863900731603747,33.7758713849357,NA,NA,NA
2008,29.607,29.607,NA,NA,215.25425,207.344166666667,1.03814953398737,0.89685814192578,33.0119097056156,33.0119097056156,NA,NA
2009,30.545,35.119,NA,NA,214.564666666667,215.25425,0.996796424073702,0.893984988773002,34.1672403715896,39.2836573779622,NA,NA
2010,31.238,36.384,NA,NA,218.076166666667,214.564666666667,1.01636569550128,0.908615674881975,34.3797722882754,40.0433329578274,NA,NA
2011,30.916,30.916,NA,NA,224.923,218.076166666667,1.03139652277454,0.937143047611707,32.9896274413911,32.9896274413911,NA,NA
2012,30.861,NA,NA,NA,229.586083333333,224.923,1.02073190973504,0.956571812683608,32.2620838193227,NA,NA,NA
2013,29.316,NA,NA,NA,232.948916666667,229.586083333333,1.01464737445976,0.970583078221638,30.2045241234935,NA,NA,NA
2014,30.143,NA,NA,NA,236.703916666667,232.948916666667,1.01611941387722,0.986228308561719,30.5639168317522,NA,NA,NA
2015,30.311,NA,NA,NA,236.98725,236.703916666667,1.00119699469837,0.987408818618449,30.6975180173195,NA,NA,NA
2016,32.311,NA,32.311,NA,240.00925,236.98725,1.0127517408637,1,32.311,NA,32.311,NA
2017,NA,NA,33.136,33.136,245.572141508595,NA,NA,1.02317782130728,NA,NA,32.3853775071699,32.3853775071699
2018,NA,NA,NA,25.9,251.263968722529,NA,NA,1.04689285401512,NA,NA,NA,24.7398765792186
